subject_id,priority1,priority2,priority3,priority4,priority5,no_priority,minx,miny,maxx,maxy
8259,0.0000,0.0000,0.0000,0.0000,0.0104,0.9895,-5990217.0318,-3543009.1346,-5987159.5507,-3540716.0237
8315,0.0001,0.0001,0.0004,0.0004,0.2016,0.7974,-5996331.9941,-3554474.6888,-5993274.5129,-3552181.5780
8074,0.0000,0.0000,0.0000,0.0000,0.0008,0.9991,-5864860.3054,-3345801.6016,-5861802.8243,-3343508.4908
7291,0.0022,0.0126,0.3969,0.4354,0.1524,0.0004,-5736446.0979,-3201335.6182,-5733388.6168,-3199042.5073
7440,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5800653.2017,-3231146.0592,-5797595.7206,-3228852.9484
7590,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5782308.3149,-3267835.8328,-5779250.8338,-3265542.7219
7698,0.0004,0.0010,0.0064,0.0470,0.9423,0.0030,-5831228.0130,-3290766.9413,-5828170.5319,-3288473.8304
8308,0.0000,0.0000,0.0000,0.0000,0.0004,0.9995,-5977987.1073,-3552181.5780,-5974929.6262,-3549888.4671
5857,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7216266.9653,-3015593.6395,-7213209.4842,-3013300.5286
6057,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7240726.8144,-3056869.6348,-7237669.3333,-3054576.5239
6269,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7292703.9936,-3107318.0734,-7289646.5125,-3105024.9626
6716,0.0019,0.0050,0.1572,0.0351,0.7924,0.0084,-5739503.5791,-3166938.9555,-5736446.0979,-3164645.8446
7265,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-5742561.0602,-3194456.2856,-5739503.5791,-3192163.1748
6550,0.0001,0.0003,0.0004,0.0002,0.0090,0.9900,-5702813.8055,-3146300.9578,-5699756.3244,-3144007.8470
7670,0.0022,0.0126,0.3969,0.4354,0.1524,0.0004,-5809825.6451,-3286180.7196,-5806768.1640,-3283887.6087
7898,0.0009,0.0072,0.9006,0.0854,0.0059,0.0000,-5849572.8998,-3315991.1606,-5846515.4187,-3313698.0498
